clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
CLACOOAMA2867,CLACOOAMA2867,CLAVIJA COOPER 2P 3H 15A 125V BLIN.AMARILLA #2867-BOX,CLAVIJA COOPER 2P 3H 15A 125V BLIN.AMARILLA #2867-BOX,29.25,,,100,100,20,60
CODGA9012,CODGA9012,CODO GALVANIZADO 90° 13MM  1/2,CODO GALVANIZADO 90° 13MM  1/2,6.12,,,100,100,20,60
CODGAL90,CODGAL90,CODO GALVANIZADO 90° C-40 25MM 1,CODO GALVANIZADO 90° C-40 25MM 1,17.95,,,100,100,20,60
CODO9060,CODO9060,CODO GALVANIZADO 90° C-40 3MM 1/8,CODO GALVANIZADO 90° C-40 3MM 1/8,15.4,,,100,100,20,60
CODO,CODO,CODO GALVANIZADO 90° C-40 6MM 1/4,CODO GALVANIZADO 90° C-40 6MM 1/4,15.42,,,100,100,20,60
COPD13,COPD13,CODO PARED DELGADA 13MM 1/2,CODO PARED DELGADA 13MM 1/2,12.13,,,100,100,20,60
CODPD25MM,CODPD25MM,"CODO PARED DELGADA 25MM  1""","CODO PARED DELGADA 25MM  1""",34.87,,,100,100,20,60
CODPVC,CODPVC,CODO PVC C-80 90° 13MM 1/2,CODO PVC C-80 90° 13MM 1/2,14.37,,,100,100,20,60
CODPVC80,CODPVC80,"CODO PVC C-80 90° 25MM 1""","CODO PVC C-80 90° 25MM 1""",19.75,,,100,100,20,60
CDPVC90,CDPVC90,"CODO PVC C90° 13MM SOLDABLE 1/2""","CODO PVC C90° 13MM SOLDABLE 1/2""",14.37,,,100,100,20,60
CONDOTC/T,CONDOTC/T,CONDULENT OT C/ TAPA RAWELT 19MM 3/4 28.01.0087C,CONDULENT OT C/ TAPA RAWELT 19MM 3/4 28.01.0087C,38.39,,,100,100,20,60
COND19333/4,COND19333/4,"CONDULET OLB C/TAPA RAWELT  19MM 3/4""  28.01.0088","CONDULET OLB C/TAPA RAWELT  19MM 3/4""  28.01.0088",32.69,,,100,100,20,60
CONDOLBC/T,CONDOLBC/T,CONDULET OLB C/TAPA RAWELT 13 MM 1/2 28.01.2986C,CONDULET OLB C/TAPA RAWELT 13 MM 1/2 28.01.2986C,27.96,,,100,100,20,60
CONECLIQUI13MM,CONECLIQUI13MM,CONECTOR LIQUIDTIGHT CURVO 13MM  1/2  HLC 12,CONECTOR LIQUIDTIGHT CURVO 13MM  1/2  HLC 12,29.07,,,100,100,20,60
CDLI25MM,CDLI25MM,"CONECTOR LIQUIDTIGHT CURVO 25 MM 1"" HLC 100","CONECTOR LIQUIDTIGHT CURVO 25 MM 1"" HLC 100",42.42,,,100,100,20,60
CONECLIQ13MM1/2,CONECLIQ13MM1/2,"CONECTOR LIQUIDTIGHT RECTO 13MM ½"" HLR 12","CONECTOR LIQUIDTIGHT RECTO 13MM ½"" HLR 12",12.12,,,100,100,20,60
COLIR19,COLIR19,"CONECTOR LIQUIDTIGHT RECTO 19 MM 3/4"" HLR 34","CONECTOR LIQUIDTIGHT RECTO 19 MM 3/4"" HLR 34",26.93,,,100,100,20,60
CONECHEM7183/8,CONECHEM7183/8,CONECTOR MILTON RAPIDO HEMBRA #718BK 3/8,CONECTOR MILTON RAPIDO HEMBRA #718BK 3/8,104.2,,,100,100,20,60
CONPDCLL12,CONPDCLL12,"CONECTOR P/DELGADA 13MM 1/2"" CCL12","CONECTOR P/DELGADA 13MM 1/2"" CCL12",4.58,,,100,100,20,60
CD25MM,CD25MM,"CONECTOR P/DELGADA 25MM 1"" CCL100","CONECTOR P/DELGADA 25MM 1"" CCL100",9.22,,,100,100,20,60
CONEPPD51MM,CONEPPD51MM,"CONECTOR P/DELGADA 51MM  2""  CCL 200","CONECTOR P/DELGADA 51MM  2""  CCL 200",37.07,,,100,100,20,60
conec/8,conec/8,"CONECTOR P/VARILLA REFORZADO DE 5/8""","CONECTOR P/VARILLA REFORZADO DE 5/8""",24.75,,,100,100,20,60
CONC-8013MM1/2,CONC-8013MM1/2,"CONECTOR PVC C-80 ROSCA INTERIOR 13MM 1/2""","CONECTOR PVC C-80 ROSCA INTERIOR 13MM 1/2""",10.95,,,100,100,20,60
CONECPVC,CONECPVC,"CONECTOR PVC C-80 ROSCA INTERIOR 25MM 1""","CONECTOR PVC C-80 ROSCA INTERIOR 25MM 1""",35.64,,,100,100,20,60
MALESTR,MALESTR,CONECTOR RECTO MACHO,CONECTOR RECTO MACHO,268.19,,,100,100,20,60
CONEUR1,CONEUR1,CONECTOR USO RUDO 13MM 1/2 CUR  12,CONECTOR USO RUDO 13MM 1/2 CUR  12,3.97,,,100,100,20,60
CONEC13MM12,CONEC13MM12,CONECTOR USO RUDO 19 MM 3/4 CUR 34,CONECTOR USO RUDO 19 MM 3/4 CUR 34,6.7,,,100,100,20,60
CONUR25MM,CONUR25MM,CONECTOR USO RUDO 25 MM 1 CUR 100,CONECTOR USO RUDO 25 MM 1 CUR 100,5.86,,,100,100,20,60
CONTLE2P,CONTLE2P,CONT. LEVITON COL.2P 3H 30A 277V #2633 NEMA L7-30,CONT. LEVITON COL.2P 3H 30A 277V #2633 NEMA L7-30,533.18,,,100,100,20,60
CONTLEV3P,CONTLEV3P,CONT. LEVITON COL.3P 4H 30A 125/250V #2713 NEMA L1A-30R,CONT. LEVITON COL.3P 4H 30A 125/250V #2713 NEMA L1A-30R,735.24,,,100,100,20,60
CONTC22P,CONTC22P,CONTACTO LEVITON CAJA 2P 3H 30A 250V #2620 NEMAL6-30R,CONTACTO LEVITON CAJA 2P 3H 30A 250V #2620 NEMAL6-30R,245.7,,,100,100,20,60
CONTACLEV5320,CONTACLEV5320,CONTACTO LEVITON LINEA ANTIGUA 15A 125V DOBLE MARFIL #5320-ICP,CONTACTO LEVITON LINEA ANTIGUA 15A 125V DOBLE MARFIL #5320-ICP,10.86,,,100,100,20,60
TEMPCONTR,TEMPCONTR,CONTROLADOR DE TEMPERATURA AUTOMATIZACION DIRECTA,CONTROLADOR DE TEMPERATURA AUTOMATIZACION DIRECTA,3167.5,,,100,100,20,60
COPLG03P1A1D,COPLG03P1A1D,COPLE GALVANIZADO C-40  10MM  3/8,COPLE GALVANIZADO C-40  10MM  3/8,13.96,,,100,100,20,60
COPLC403MM1/8,COPLC403MM1/8,COPLE GALVANIZADO C-40 3MM 1/8,COPLE GALVANIZADO C-40 3MM 1/8,11.86,,,100,100,20,60
COPC-406MM1/4,COPC-406MM1/4,COPLE GALVANIZADO C-40 6MM 1/4,COPLE GALVANIZADO C-40 6MM 1/4,11.73,,,100,100,20,60
COPGAL12,COPGAL12,COPLE GALVANIZADO C-4013MM 1/2,COPLE GALVANIZADO C-4013MM 1/2,5.75,,,100,100,20,60
COPPAR19MM3/4,COPPAR19MM3/4,"COPLE PARED DELGADA  19MM   ¾"" CPD 34","COPLE PARED DELGADA  19MM   ¾"" CPD 34",8.27,,,100,100,20,60
CO51MM,CO51MM,"COPLE PARED DELGADA 25MM 1"" CPD 100","COPLE PARED DELGADA 25MM 1"" CPD 100",11.57,,,100,100,20,60
"COP51MM2""","COP51MM2""","COPLE PARED DELGADA 51MM  2""  CPD 200","COPLE PARED DELGADA 51MM  2""  CPD 200",34.36,,,100,100,20,60
COPLPVC51MM,COPLPVC51MM,"COPLE PVC C-40   51MM   2""","COPLE PVC C-40   51MM   2""",15.59,,,100,100,20,60
TWIST,TWIST,"CORBATA PRECORTADA 8"" VERDE (1932892)","CORBATA PRECORTADA 8"" VERDE (1932892)",271.97,,,100,100,20,60
CORRDEPL,CORRDEPL,CORRECTOR DE PLUMA,CORRECTOR DE PLUMA,15.73,,,100,100,20,60
GOJO14OZ1109-12,GOJO14OZ1109-12,CREMA DESENGRASANTE GOJO 14 OZ 397GR 1109-12,CREMA DESENGRASANTE GOJO 14 OZ 397GR 1109-12,178.93,,,100,100,20,60
GOJ4.5LB,GOJ4.5LB,CREMA DESENGRASANTE GOJO 4.5 LB,CREMA DESENGRASANTE GOJO 4.5 LB,322.69,,,100,100,20,60
CUELL2699,CUELL2699,CUELLO DE CERA C/GUIA #2699 FAMA,CUELLO DE CERA C/GUIA #2699 FAMA,16.84,,,100,100,20,60
DESAR9622,DESAR9622,DESARM. AMBAR CABINET #9622 1/8 X 2½  URREA,DESARM. AMBAR CABINET #9622 1/8 X 2½  URREA,32.03,,,100,100,20,60
DESBIOVERDEPOO,DESBIOVERDEPOO,DESENGRASANTE BIOVERDE PORRON,DESENGRASANTE BIOVERDE PORRON,450,,,100,100,20,60
DISAUES,DISAUES,DISCO AUSTROMEX P/ESMERIL 6 X 1 X 1#23 GRANO 60,DISCO AUSTROMEX P/ESMERIL 6 X 1 X 1#23 GRANO 60,373.95,,,100,100,20,60
"DISC7""","DISC7""","DISCO DE CORTE DE ALUMINIO GRIT 7"" X 1/16"" X 1-1/4""  8,730 MAX RPM","DISCO DE CORTE DE ALUMINIO GRIT 7"" X 1/16"" X 1-1/4""  8,730 MAX RPM",185.74,,,100,100,20,60
"DISCO7""","DISCO7""","DISCO GRIT DE OXIDO DE ALUMINIO 7""","DISCO GRIT DE OXIDO DE ALUMINIO 7""",185.74,,,100,100,20,60
DISDCORAUSTRO,DISDCORAUSTRO,DISCOS DE CORTE DE AUSTROMEX #579,DISCOS DE CORTE DE AUSTROMEX #579,394.04,,,100,100,20,60
ENSEPC/T,ENSEPC/T,ENCENDEDOR PARA COCINA TOKAI,ENCENDEDOR PARA COCINA TOKAI,42,,,100,100,20,60
ESPRIGMGO,ESPRIGMGO,ESPATULA RIGIDA MGO MAD. ET-3R 3 TRUPER 14442,ESPATULA RIGIDA MGO MAD. ET-3R 3 TRUPER 14442,39.82,,,100,100,20,60
FAJACH,FAJACH,FAJA REFORZADA C/TIRANTES CHICA,FAJA REFORZADA C/TIRANTES CHICA,83.85,,,100,100,20,60
FAJAEXG,FAJAEXG,FAJA REFORZADA C/TIRANTES EXTRA GRANDE,FAJA REFORZADA C/TIRANTES EXTRA GRANDE,83.85,,,100,100,20,60
FAJAGR,FAJAGR,FAJA REFORZADA C/TIRANTES GRANDE,FAJA REFORZADA C/TIRANTES GRANDE,83.85,,,100,100,20,60
FAJAMED,FAJAMED,FAJA REFORZADA C/TIRANTES MEDIANA,FAJA REFORZADA C/TIRANTES MEDIANA,83.85,,,100,100,20,60
FIBR7447B,FIBR7447B,FIBRA ABRASIVA GRAND GUIN SB 7447B C/60PZ 61500123239,FIBRA ABRASIVA GRAND GUIN SB 7447B C/60PZ 61500123239,22.67,,,100,100,20,60
FILTRP20,FILTRP20,FILTRO P20 1 1/4 100 RV3,FILTRO P20 1 1/4 100 RV3,"1,736.41",,,100,100,20,60
FUSI58AMP600V,FUSI58AMP600V,FUSIBLE ATQR   5 AMP. 600V FERRAZ SHAWMUT,FUSIBLE ATQR   5 AMP. 600V FERRAZ SHAWMUT,106.35,,,100,100,20,60
FUS10AMP600V,FUS10AMP600V,FUSIBLE ATQR  10 AMP. 600V FERRAZ SHAWMUT,FUSIBLE ATQR  10 AMP. 600V FERRAZ SHAWMUT,106.35,,,100,100,20,60
FUS2502V,FUS2502V,FUSIBLE FNM  250V  30 AMP.,FUSIBLE FNM  250V  30 AMP.,67.2,,,100,100,20,60
FUS2580V10,FUS2580V10,FUSIBLE FNM  250V 10 AMP.,FUSIBLE FNM  250V 10 AMP.,74.48,,,100,100,20,60
FUS250V15,FUS250V15,FUSIBLE FNM  250V 15 AMP.,FUSIBLE FNM  250V 15 AMP.,84,,,100,100,20,60
FUS500V25AMP,FUS500V25AMP,FUSIBLE FNM  500V AC 25 AMP,FUSIBLE FNM  500V AC 25 AMP,134.5,,,100,100,20,60
FUSFNQ,FUSFNQ,FUSIBLE FNQ 500V AC 20 AMP.,FUSIBLE FNQ 500V AC 20 AMP.,152.76,,,100,100,20,60
GASFREON2230,GASFREON2230,GAS FREON 22 30 LBS,GAS FREON 22 30 LBS,"3,483.20",,,100,100,20,60
